Folio,Screening,CLT iniciado,HUT_FOLIO,Código 1,Código 2,Código 3,Resultado migración
NAV-066,PASSED,NO,HUT-066,XQY2,HHC3,E88H,MIGRAR
NAV-067,PASSED,NO,HUT-067,GVTV,CMS4,6ZKG,MIGRAR
NAV-068,PASSED,NO,HUT-068,NJ2N,AKPV,R8CJ,MIGRAR
NAV-069,PASSED,NO,HUT-069,AZRM,2MTA,JKSJ,MIGRAR
NAV-070,PASSED,NO,HUT-070,P4C2,ZEZD,XYJ8,MIGRAR
NAV-071,PASSED,NO,HUT-071,6C7B,GXSH,6CTQ,MIGRAR
NAV-072,PASSED,NO,HUT-072,B3PU,Y2CT,TX7D,MIGRAR
NAV-073,PASSED,NO,HUT-073,ZQT7,QF44,BD7N,MIGRAR
NAV-074,PASSED,NO,HUT-074,4USK,M2KW,VYAZ,MIGRAR
NAV-075,PASSED,NO,HUT-075,XUW4,33KK,9E2J,MIGRAR
NAV-076,PASSED,NO,HUT-076,3JCP,F2W4,7CA2,MIGRAR
NAV-077,PASSED,NO,HUT-077,DBK6,NKDF,87TE,MIGRAR
NAV-079,PASSED,NO,HUT-079,Y8SW,JYCR,8CUH,MIGRAR
NAV-080,PASSED,NO,HUT-080,7N7Z,NZSH,MCKX,MIGRAR
NAV-081,PASSED,NO,HUT-081,PDS9,K749,M9Z4,MIGRAR
NAV-082,PASSED,NO,HUT-082,GG4X,C6WN,XSJS,MIGRAR
NAV-083,PASSED,NO,HUT-083,SGA6,4ATP,N9GF,MIGRAR
NAV-084,PASSED,NO,HUT-084,C423,9FYB,8SJB,MIGRAR
NAV-085,PASSED,NO,HUT-085,3PMX,2WYZ,ETK3,MIGRAR
NAV-086,PASSED,NO,HUT-086,EQCG,XABE,VBGB,MIGRAR
NAV-087,PASSED,NO,HUT-087,XWUQ,WJRP,7PQK,MIGRAR
NAV-088,PASSED,NO,HUT-088,V7GG,PCKW,SE7R,MIGRAR
NAV-089,PASSED,NO,HUT-089,SEGZ,SVXG,Y9BU,MIGRAR
NAV-091,PASSED,NO,HUT-091,CK9Y,EQW4,98RF,MIGRAR
NAV-092,PASSED,NO,HUT-092,JYBT,QYDG,YE43,MIGRAR
NAV-093,PASSED,NO,HUT-093,R82D,KUZC,UDNQ,MIGRAR
NAV-094,PASSED,NO,HUT-094,A97P,CP92,MRFR,MIGRAR
NAV-095,PASSED,NO,HUT-095,9QFJ,TEZ3,REN7,MIGRAR
NAV-096,PASSED,NO,HUT-096,ESQW,2U8P,8982,MIGRAR
NAV-097,PASSED,NO,HUT-097,B9ZQ,DQSY,AC7N,MIGRAR
NAV-099,PASSED,NO,HUT-099,MMGM,6VTE,FJVH,MIGRAR
NAV-101,PASSED,NO,HUT-101,JVMB,KCHX,XKW4,MIGRAR
NAV-102,PASSED,NO,HUT-102,TUYX,SPBZ,HBWX,MIGRAR
NAV-112,PASSED,NO,HUT-112,3ADJ,26NZ,EMXS,MIGRAR
NAV-113,PASSED,NO,HUT-113,AFSG,NEZ4,FR4C,MIGRAR
NAV-116,PASSED,NO,HUT-116,ZKWM,QGVQ,77TN,MIGRAR
NAV-118,PASSED,NO,HUT-118,YYB8,GB8F,KZY3,MIGRAR
NAV-126,PASSED,NO,HUT-126,BG7J,J4T9,VEDV,MIGRAR
NAV-132,PASSED,NO,HUT-132,CJMZ,HZC3,TGJY,MIGRAR
NAV-133,PASSED,NO,HUT-133,6FTG,QH3C,6HSG,MIGRAR
NAV-143,PASSED,NO,HUT-143,MHW9,QB7V,Z9DV,MIGRAR
